population,input_chunks,nonempty_line_sequences,input_songs,songs_with_at_least_one_strict_han_line,songs_with_at_least_one_adjacent_transition,strict_han_ending_line_occurrences,adjacent_transitions_before_leakage_filter,switch_events,switch_rate,repeat_groups,repeat_group_occurrences_including_first,repeat_excess_after_first,exact_cleaned_duplicate_chunk_groups,exact_cleaned_duplicate_chunk_occurrences,exact_cleaned_duplicate_chunk_excess
released_frozen_task,15760,13842,5619,5452,5347,283806,238881,119436,0.49998116216861116,27642,79794,52152,3,6,3
pre_snapshot_duplicate_chunk_counterfactual,17715,15324,5621,5459,5353,290839,243819,121566,0.498591168038586,30300,88924,58624,1259,3206,1947
