source_credit_label,entity,entity_type,label_song_units,entity_song_units_within_label,entity_song_units_corpus,all_membership_song_units,within_label_share,corpus_share,shrunken_risk_ratio,ci95_lower_conservative,ci95_upper_conservative,q_value_bh,reliability_class,association_scope,source
泰格西,湖南,PLACE,25,5,12,5681,0.2,0.002112,159.55641,33.222097,693.819927,1.2527862668009402e-06,SUPPORTED,"shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",results/ner-v1/source_label_entity_links_provisional.csv
黑麦,天津,PLACE,33,10,21,5681,0.30303,0.003697,151.699488,49.780413,455.252441,1.4696215482327603e-14,HIGH,"shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",results/ner-v1/source_label_entity_links_provisional.csv
Tangoz,杭州,PLACE,38,10,30,5681,0.263158,0.005281,74.123827,26.873679,186.438626,3.042623045608577e-12,HIGH,"shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",results/ner-v1/source_label_entity_links_provisional.csv
国蛋,台北,PLACE,36,6,21,5681,0.166667,0.003697,63.991282,17.031561,200.533981,2.3789262580140696e-06,SUPPORTED,"shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",results/ner-v1/source_label_entity_links_provisional.csv
GALI,上海,PLACE,36,8,106,5681,0.222222,0.018659,13.168061,5.28451,26.485202,0.00019840646134977326,SUPPORTED,"shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",results/ner-v1/source_label_entity_links_provisional.csv
法老,上海,PLACE,41,7,106,5681,0.170732,0.018659,10.123833,3.756767,21.313106,0.004955357390838317,SUPPORTED,"shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",results/ner-v1/source_label_entity_links_provisional.csv
