entity_a,entity_a_type,entity_b,entity_b_type,all_eligible_song_units,unique_song_unit_co_mentions,source_credit_labels,npmi,q_value_bh,reliability_class,relation_scope,source
伦敦,PLACE,巴黎,PLACE,5681,5,5,0.500454,4.206421320557345e-05,SUPPORTED,same-song lyric-reference co-mention using all eligible song units as denominator; not a social relationship,outputs/chinese-rap-ner-cultural-graph-v1/entity_co_mentions_provisional.csv
中文,LANGUAGE_OR_DIALECT_REFERENCE,英文,LANGUAGE_OR_DIALECT_REFERENCE,5681,6,5,0.324179,0.004013675340509879,SUPPORTED,same-song lyric-reference co-mention using all eligible song units as denominator; not a social relationship,outputs/chinese-rap-ner-cultural-graph-v1/entity_co_mentions_provisional.csv
上海,PLACE,新疆,PLACE,5681,5,5,0.270346,0.03100053901544082,SUPPORTED,same-song lyric-reference co-mention using all eligible song units as denominator; not a social relationship,outputs/chinese-rap-ner-cultural-graph-v1/entity_co_mentions_provisional.csv
上海,PLACE,巴黎,PLACE,5681,7,5,0.250614,0.01700920397947923,SUPPORTED,same-song lyric-reference co-mention using all eligible song units as denominator; not a social relationship,outputs/chinese-rap-ner-cultural-graph-v1/entity_co_mentions_provisional.csv
