model,model_short,transition_type,eligible_event_count,song_count,top1_accuracy,top3_accuracy,mrr,source
first_order_markov,First-order Markov,continuation,25404,1045,0.989883,1.0,0.994942,results/written-rhyme-v2/stratified_metrics.csv
first_order_markov,First-order Markov,switch,26112,1057,0.012102,0.307215,0.232528,results/written-rhyme-v2/stratified_metrics.csv
hierarchical_sgd_context,Hierarchical + label,continuation,25404,1045,0.982916,0.999961,0.991356,results/written-rhyme-v2/stratified_metrics.csv
hierarchical_sgd_context,Hierarchical + label,switch,26112,1057,0.027382,0.403608,0.277457,results/written-rhyme-v2/stratified_metrics.csv
