edge_key,two_representation_edge_probability,primary_mutual_probability,sensitivity_mutual_probability,bootstrap_band
ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b|ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,0.408000,0.416000,0.456000,low
ALBL-1f7fed06b8efb360d17055fb5863e54d09a25560e048c3bf2ee01153da3c93c4|ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,0.396000,0.408000,0.520000,low
ALBL-19e6d081ff62ae40b3e88e22cef1e5d0ec872a8e6f3866590efc6d45eb909d16|ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,0.376000,0.484000,0.412000,low
ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab|ALBL-b54a07b05128f5872fa2d2cafea41ad88da5df11665216730e41d3f0d57f30ff,0.360000,0.424000,0.512000,low
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9|ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab,0.352000,0.360000,0.568000,low
ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8|ALBL-fddf535e5b713884564473e370696e9d3ff93e4f56e8f974e38c66f522386646,0.344000,0.420000,0.428000,low
ALBL-3516aca92330ace937d4d66d19489d317129d236c505c76c829d30f582c702ec|ALBL-b2a691a1a1df18c00b161abfd5f160861921f76fd419e4a473cba62f11a6bdc2,0.336000,0.404000,0.384000,low
ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9|ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35,0.332000,0.356000,0.596000,low
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e|ALBL-93a39f5d64d4b1cd045f2ea90c301f10cfa84e6cb7474f61bb8f90b8b551a8bb,0.324000,0.324000,0.388000,low
ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf|ALBL-d979019ce70ed85f25885322d6573ee2b06fc89d5d3a312f05d0e571d3c1e6b9,0.324000,0.356000,0.440000,low
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9|ALBL-b97bd56b9ca53434dfd6bfe48b6585fffd4ce36eddfbe206e6c90faf56a9d6cd,0.316000,0.316000,0.460000,low
ALBL-5588dea76589911df854bcd8ae85996bb26f89521d661f3f591f4f339057cd55|ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,0.312000,0.332000,0.352000,low
ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608|ALBL-c8913c29ed1bccc83766366e0c593a46aecfcfec350af2ca425ad6fa27b75a61,0.300000,0.632000,0.328000,low
ALBL-377b054a1f71b14c70428b5910256bbb843ebcec24665eff55383c467e7c9df7|ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab,0.296000,0.488000,0.328000,low
ALBL-7f3967d3975472e31ce4362dd92a45b49955b2ff273e500482ac5b4118c331c8|ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,0.296000,0.296000,0.568000,low
ALBL-2cd7183a0cf674ea30188d5d0032a7ba17c2775bd7ee862325f9ed98d3d5ee1f|ALBL-d7a92b911b2c469f9fb85d220c4cc53811a7f280d395332df796bd1660aeeee1,0.292000,0.360000,0.396000,low
ALBL-904fcc2d59908c38ed9f59b6a90b30096342461e51a746e515da335e08b6cf49|ALBL-f13232ac4d20a03d1895a207e1d242b71a0fff71fc387a2dce2728146c4583ea,0.292000,0.312000,0.368000,low
ALBL-11f90a8c55fbe0699911c1c19ab4046d0a93a992a97ac914cf60449351307a39|ALBL-d7bb01eb8d746f1f9d0a1c46bb8ab67c980a36f3fbbdf2d4671c7ce7e040539c,0.284000,0.412000,0.316000,low
ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a|ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b,0.284000,0.296000,0.376000,low
ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b|ALBL-cd62211172109255e518aac9c918feef626c1ec8599caa975e444bfce28c7e28,0.284000,0.284000,0.336000,low
ALBL-b2a691a1a1df18c00b161abfd5f160861921f76fd419e4a473cba62f11a6bdc2|ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,0.276000,0.380000,0.328000,low
ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf|ALBL-b6fb9745908a9283df198b367153a16c8346bc5114b5856f9a7ffb412793e6ef,0.268000,0.476000,0.280000,low
ALBL-1753897f8c66389b862ec914699598c03d64c509e330ce87a7421c9325a0ac9f|ALBL-d7a92b911b2c469f9fb85d220c4cc53811a7f280d395332df796bd1660aeeee1,0.256000,0.332000,0.408000,low
ALBL-1977978993b2949e4425ba3d1e00a27af4ff44e6123be893f0fff6439f76e7e3|ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,0.252000,0.268000,0.404000,low
ALBL-2b47111c3ae429f7fd49243653f4b70387bf44642bbb3d8c30fd5cc8b8063b34|ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,0.252000,0.260000,0.396000,low
ALBL-91e7e3cdbb244167ab7bd584a228ec96d1798f373702980135847af0b640afa5|ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,0.252000,0.392000,0.304000,low
ALBL-247a321492792bdb57c32c163643edba2d15422f23a86af468d8f0bfb5c89077|ALBL-ce1dbed42e4ffd01b17b35012dd06687b42c427b4423c451dd09eb33b4e346a1,0.236000,0.344000,0.336000,low
