artist_label_id,source_artist_label,label_attribution_status,eligible_song_count,eligible_written_line_occurrence_count,dominant_written_rhyme_family,dominant_family_share,adjacent_same_family_rate,local_four_line_family_echo_rate,local_echo_lift_over_iid_frequency_expectation,two_syllable_pattern_local_echo_rate,share_of_lines_in_adjacent_runs_of_two_or_more,normalised_family_entropy
ALBL-bda9bbfa89b0bd940295ad568d84d7283bdc5124046b7dd9e9f71ed328bb0828,KnowKnow,source_artist_label_not_externally_identity_verified,19,621,I,0.148148,0.529661,0.627119,2.947107,0.288136,0.618357,0.922298
ALBL-bfd7ad7c97808d56342bd0a84bb1be7d9d1b4a221d6d2ad0b5e3f2c5c8605a17,阿水YoungBJ,source_artist_label_not_externally_identity_verified,40,1983,I,0.231467,0.594355,0.720531,2.280526,0.36162,0.757438,0.877782
ALBL-c1f982b8eb04ff36009623f8516bf6573401da3cbf9ce3a7080b5c95fe25a794,YOUNGLEGO,source_artist_label_not_externally_identity_verified,26,1678,I,0.166865,0.424328,0.604668,2.444345,0.336546,0.544696,0.924044
ALBL-c28203421388af56e88d8f0ad4f9f31fd91f1b6e3815ee08511ee620b9046d21,派克特,source_artist_label_not_externally_identity_verified,20,1175,I,0.138723,0.39858,0.599391,2.640358,0.352701,0.514043,0.93519
ALBL-c4f90fc90e0c97b6dbc57501292e9b4898caa889c277d3081e18c242f774cae2,嫩桃弟弟,source_artist_label_not_externally_identity_verified,17,662,AN,0.149547,0.556169,0.677716,2.885706,0.360958,0.655589,0.9421
ALBL-c59769af69edb396aee71a6ad277e7792d6a84c4d990757bf20412b33c8b7e24,黑螺丝,source_artist_label_not_externally_identity_verified,26,1353,I,0.158167,0.558645,0.664639,2.549784,0.456446,0.694752,0.913694
ALBL-c848d6a211291771f93cf108b05b8dc3f7b8fa0a009a6e63609a8b46233e27a4,龙井说唱 孙旭,source_artist_label_not_externally_identity_verified,16,1397,AN,0.141016,0.623707,0.722355,2.802102,0.30708,0.772369,0.929474
ALBL-c8913c29ed1bccc83766366e0c593a46aecfcfec350af2ca425ad6fa27b75a61,邓典果,source_artist_label_not_externally_identity_verified,25,1221,AN,0.109746,0.504405,0.617841,3.053435,0.396018,0.577396,0.948271
ALBL-c8b292a6fd797d5864b6f98a4ca3145941af864722740d9be02e52bb5e4d4d14,谢帝,source_artist_label_not_externally_identity_verified,21,1403,I,0.138275,0.370307,0.550341,2.419592,0.324786,0.486101,0.947508
ALBL-cac4dfe45e2a4ea3c8992080944a6e0c1092bbfea9b5a129b6b007d76b168d38,阿童木,source_artist_label_not_externally_identity_verified,17,1111,ANG,0.157516,0.425144,0.629559,2.239768,0.110145,0.546355,0.911113
ALBL-cb7c78d5d00ac7147de7b814ebde9ef47d47e7961b8df535b0628bb71e594071,GAI,source_artist_label_not_externally_identity_verified,33,1882,I,0.136557,0.432984,0.582168,2.487241,0.268378,0.573326,0.946613
ALBL-cc48b376ac63f6fea6880e5372265eef198782cb91bad0382c98db1d34af89df,Nxmad诺曼得,source_artist_label_not_externally_identity_verified,35,1149,I,0.18799,0.490933,0.620466,2.752003,0.323834,0.502176,0.914169
ALBL-cc5e5e267a45098cd771ea82a20f2b570a5743d6a5716f053f5cb1a8135557ea,那奇沃夫,source_artist_label_not_externally_identity_verified,31,1234,I,0.190438,0.394737,0.551535,2.706757,0.353458,0.466775,0.92628
ALBL-cccdb653670a48994ebdcb438849469516c1dce56b03656b2018d90c9d7b2309,呆宝静,source_artist_label_not_externally_identity_verified,21,940,AN,0.137234,0.513241,0.659521,2.70939,0.234552,0.634043,0.910679
ALBL-cd62211172109255e518aac9c918feef626c1ec8599caa975e444bfce28c7e28,爆音Boom,source_artist_label_not_externally_identity_verified,23,1340,I,0.149254,0.557018,0.685088,2.940442,0.43108,0.725373,0.932105
