edge_key,artist_label_id_a,artist_label_id_b,dominant_signal,interpretation_state,plain_evidence,language_percentile,line_ending_percentile,form_percentile,support_bucket
ALBL-247a321492792bdb57c32c163643edba2d15422f23a86af468d8f0bfb5c89077|ALBL-ce1dbed42e4ffd01b17b35012dd06687b42c427b4423c451dd09eb33b4e346a1,ALBL-ce1dbed42e4ffd01b17b35012dd06687b42c427b4423c451dd09eb33b4e346a1,ALBL-247a321492792bdb57c32c163643edba2d15422f23a86af468d8f0bfb5c89077,semanticOnly,semantic-only,,35.0,35.8,87.9,40+ songs
ALBL-24b00b86757b8524f811b193bdeb83ef1329a0c57055807a6ded111fa42e68f3|ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,ALBL-24b00b86757b8524f811b193bdeb83ef1329a0c57055807a6ded111fa42e68f3,semanticOnly,semantic-only,,42.4,12.1,74.3,20-39 songs
ALBL-2807b98ea33a2a358a5e75262d1634d94c6402340cb7f15b88794a34f694ba24|ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc,ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc,ALBL-2807b98ea33a2a358a5e75262d1634d94c6402340cb7f15b88794a34f694ba24,lineEnding,supported,"Similar written line endings: -i, -e, -u",42.4,93.4,49.5,20-39 songs
ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9|ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35,ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35,ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9,semanticOnly,semantic-only,,35.0,86.7,77.2,40+ songs
ALBL-2b47111c3ae429f7fd49243653f4b70387bf44642bbb3d8c30fd5cc8b8063b34|ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,ALBL-2b47111c3ae429f7fd49243653f4b70387bf44642bbb3d8c30fd5cc8b8063b34,ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,semanticOnly,semantic-only,,42.4,33.1,39.9,20-39 songs
ALBL-2cd7183a0cf674ea30188d5d0032a7ba17c2775bd7ee862325f9ed98d3d5ee1f|ALBL-d7a92b911b2c469f9fb85d220c4cc53811a7f280d395332df796bd1660aeeee1,ALBL-d7a92b911b2c469f9fb85d220c4cc53811a7f280d395332df796bd1660aeeee1,ALBL-2cd7183a0cf674ea30188d5d0032a7ba17c2775bd7ee862325f9ed98d3d5ee1f,lineEnding,supported,"Similar written line endings: -i, -e, -ian",35.0,98.6,93.6,40+ songs
ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35|ALBL-ebe5f9209243e8cc0730f985167ab1298e9e6b87f738cbdaaa2789cd93dc9812,ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35,ALBL-ebe5f9209243e8cc0730f985167ab1298e9e6b87f738cbdaaa2789cd93dc9812,semanticOnly,semantic-only,,42.4,40.2,67.0,20-39 songs
ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc|ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608,ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc,ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608,language,supported,"Shared characteristic language: 不得, 娃儿, 晓得, 脑壳 | Similar written line endings: -i, -e, -u",99.7,99.4,47.3,20-39 songs
ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a|ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b,ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b,ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a,semanticOnly,semantic-only,,86.2,61.2,72.1,20-39 songs
ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a|ALBL-f17a363490fbf411d96b103d956dc0fa2f5ffeed1ce475e10c0db695c00b516d,ALBL-f17a363490fbf411d96b103d956dc0fa2f5ffeed1ce475e10c0db695c00b516d,ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a,language,supported,"Shared characteristic language: 眼泪, 情绪, 伤害, 感情",98.6,51.5,7.5,40+ songs
ALBL-3516aca92330ace937d4d66d19489d317129d236c505c76c829d30f582c702ec|ALBL-b2a691a1a1df18c00b161abfd5f160861921f76fd419e4a473cba62f11a6bdc2,ALBL-3516aca92330ace937d4d66d19489d317129d236c505c76c829d30f582c702ec,ALBL-b2a691a1a1df18c00b161abfd5f160861921f76fd419e4a473cba62f11a6bdc2,semanticOnly,semantic-only,,35.0,25.1,66.8,40+ songs
ALBL-377b054a1f71b14c70428b5910256bbb843ebcec24665eff55383c467e7c9df7|ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab,ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab,ALBL-377b054a1f71b14c70428b5910256bbb843ebcec24665eff55383c467e7c9df7,semanticOnly,semantic-only,,42.4,66.0,85.0,20-39 songs
ALBL-377b054a1f71b14c70428b5910256bbb843ebcec24665eff55383c467e7c9df7|ALBL-ce1dbed42e4ffd01b17b35012dd06687b42c427b4423c451dd09eb33b4e346a1,ALBL-ce1dbed42e4ffd01b17b35012dd06687b42c427b4423c451dd09eb33b4e346a1,ALBL-377b054a1f71b14c70428b5910256bbb843ebcec24665eff55383c467e7c9df7,semanticOnly,semantic-only,,35.0,52.3,33.4,40+ songs
ALBL-3dab537bbce562a80504255944b4f84168fe4cdfe736c5f5569088ee394644b6|ALBL-c8b292a6fd797d5864b6f98a4ca3145941af864722740d9be02e52bb5e4d4d14,ALBL-3dab537bbce562a80504255944b4f84168fe4cdfe736c5f5569088ee394644b6,ALBL-c8b292a6fd797d5864b6f98a4ca3145941af864722740d9be02e52bb5e4d4d14,lineEnding,supported,"Similar written line endings: -i, -e, -u",35.0,96.7,73.4,40+ songs
ALBL-4351325bff68d9ba2013f7254620f426c6d51a30ec2bb8dae4c1d2c8017071f4|ALBL-68861076b744e959ac73e2117efa8b1b2b9c67339252c49fa74c306ae22b118d,ALBL-4351325bff68d9ba2013f7254620f426c6d51a30ec2bb8dae4c1d2c8017071f4,ALBL-68861076b744e959ac73e2117efa8b1b2b9c67339252c49fa74c306ae22b118d,semanticOnly,semantic-only,,47.4,45.3,38.7,10-19 songs
ALBL-45fb690b1fa5ef0d23dbeb44ff194f49e6899ee138d850ccb0f8ca44cf44f801|ALBL-cf2f15a296686c84d839bd68c5e7f9f4aa3c7531a3115b6d11bb4422a06a2037,ALBL-cf2f15a296686c84d839bd68c5e7f9f4aa3c7531a3115b6d11bb4422a06a2037,ALBL-45fb690b1fa5ef0d23dbeb44ff194f49e6899ee138d850ccb0f8ca44cf44f801,lineEnding,supported,"Similar written line endings: -i, -u, -ang | Shared characteristic language: 结局",90.2,99.8,87.5,20-39 songs
ALBL-50741b2ec0bf3af4af14534601eb2b25106535e1be6e7fa756e6062fa54090e3|ALBL-e3629c2151d449562136201f8da51770a96f0b5e1d3ab3324e65c4f2fe40256d,ALBL-e3629c2151d449562136201f8da51770a96f0b5e1d3ab3324e65c4f2fe40256d,ALBL-50741b2ec0bf3af4af14534601eb2b25106535e1be6e7fa756e6062fa54090e3,form,supported,Similar writing-form profile: high repeated-line use,47.4,81.9,94.7,10-19 songs
ALBL-5588dea76589911df854bcd8ae85996bb26f89521d661f3f591f4f339057cd55|ALBL-6e2c5eea321edcf85b9bddb1be052f37af0d813916ec5db39e7691ed75c22ca0,ALBL-6e2c5eea321edcf85b9bddb1be052f37af0d813916ec5db39e7691ed75c22ca0,ALBL-5588dea76589911df854bcd8ae85996bb26f89521d661f3f591f4f339057cd55,semanticOnly,semantic-only,,47.4,28.4,53.8,10-19 songs
ALBL-5588dea76589911df854bcd8ae85996bb26f89521d661f3f591f4f339057cd55|ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,ALBL-5588dea76589911df854bcd8ae85996bb26f89521d661f3f591f4f339057cd55,semanticOnly,semantic-only,,47.4,16.3,44.8,10-19 songs
ALBL-5fd79266de1ca82a6a701b7b65788f6a770a569318a1351825159d92cf867337|ALBL-cccdb653670a48994ebdcb438849469516c1dce56b03656b2018d90c9d7b2309,ALBL-5fd79266de1ca82a6a701b7b65788f6a770a569318a1351825159d92cf867337,ALBL-cccdb653670a48994ebdcb438849469516c1dce56b03656b2018d90c9d7b2309,semanticOnly,semantic-only,,88.6,55.3,74.1,20-39 songs
ALBL-6333d5595ce07957878659758f2179f94c4e244fc91a624bad260e48824e6d0a|ALBL-f1d17edd22455d0bb54bc9f551890a1040c9af1b1f7c4e516f53bb4c5cd7ad5b,ALBL-f1d17edd22455d0bb54bc9f551890a1040c9af1b1f7c4e516f53bb4c5cd7ad5b,ALBL-6333d5595ce07957878659758f2179f94c4e244fc91a624bad260e48824e6d0a,language,supported,"Shared characteristic language: 妈妈, 老子",95.4,7.3,76.4,20-39 songs
ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0|ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8,ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8,semanticOnly,semantic-only,,42.4,29.2,43.2,20-39 songs
ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0|ALBL-e9a4c85e9728ea650fe95413c3e3e10896819996b77097c55e8b48164ad00e35,ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,ALBL-e9a4c85e9728ea650fe95413c3e3e10896819996b77097c55e8b48164ad00e35,semanticOnly,semantic-only,,42.4,35.6,77.4,20-39 songs
