system,task_role,labels_with_any_correct_at_1,labels_with_any_correct_at_5,labels_with_any_correct_at_10,fraction_labels_with_any_correct_at_1,fraction_labels_with_any_correct_at_5,fraction_labels_with_any_correct_at_10,prediction_labels_covered_at_1,prediction_labels_covered_at_5,prediction_labels_covered_at_10,fraction_prediction_labels_covered_at_1,fraction_prediction_labels_covered_at_5,fraction_prediction_labels_covered_at_10,eligible_source_credit_labels
BGE-M3 dense (strict),primary_comparison,180,199,201,0.882353,0.975490,0.985294,204,204,204,1.000000,1.000000,1.000000,204
character 2-5 gram TF-IDF (strict),primary_comparison,183,196,198,0.897059,0.960784,0.970588,192,203,204,0.941176,0.995098,1.000000,204
equal-weight z-score fusion (strict),primary_comparison,188,201,202,0.921569,0.985294,0.990196,195,204,204,0.955882,1.000000,1.000000,204
raw-cosine equal fusion (score-scale ablation),diagnostic_ablation,191,200,202,0.936275,0.980392,0.990196,197,204,204,0.965686,1.000000,1.000000,204
z-score fusion (near-duplicate guard removed),diagnostic_ablation,188,201,202,0.921569,0.985294,0.990196,197,204,204,0.965686,1.000000,1.000000,204
z-score fusion (shared-text exclusion removed),diagnostic_ablation,190,200,202,0.931373,0.980392,0.990196,196,204,204,0.960784,1.000000,1.000000,204
