source_label_id,source_credit_label,entity,entity_type,label_song_units,entity_song_units_within_label,entity_song_units_corpus,all_membership_song_units,within_label_share,corpus_share,raw_lift,label_rate_jeffreys_mean,label_rate_ci95_low,label_rate_ci95_high,rest_rate_jeffreys_mean,rest_rate_ci95_low,rest_rate_ci95_high,shrunken_risk_ratio,shrunken_risk_ratio_ci95_low_conservative,shrunken_risk_ratio_ci95_high_conservative,p_value_one_sided_hypergeometric,q_value_bh,legacy_basic_gate_pass,release_gate_pass,reliability_class,withhold_reason,plain_meaning,association_scope,status
ALBL-7ba722009dee968fea666826254e4d7047ee83b9c2b6439061df005b6dfa14bf,黑麦,天津,PLACE,33,10,21,5681,0.30303,0.003697,81.976912,0.308824,0.167669,0.471267,0.002036,0.001035,0.003368,151.699488,49.780413,455.252441,3.274557816917915e-18,1.4696215482327603e-14,True,True,HIGH,,"After shared-text exclusion, 天津 appears in 10 of 33 eligible 黑麦 song units (30.3%); shrunken enrichment 151.70x, BH q=1.47e-14.","shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-1c521aa5918a7c228d52dd39e33749ac1ed6902f61bfed0d6daaa3c3adfc4357,Tangoz,杭州,PLACE,38,10,30,5681,0.263158,0.005281,49.833333,0.269231,0.144066,0.416785,0.003632,0.002236,0.005361,74.123827,26.873679,186.438626,1.3558926228202215e-15,3.042623045608577e-12,True,True,HIGH,,"After shared-text exclusion, 杭州 appears in 10 of 38 eligible Tangoz song units (26.3%); shrunken enrichment 74.12x, BH q=3.04e-12.","shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-2c8bc6640d674fb0494ab3a0352bfacdd7243a34c724124ee036737fd0d39b2d,泰格西,湖南,PLACE,25,5,12,5681,0.2,0.002112,94.683333,0.211538,0.080679,0.384202,0.001326,0.000554,0.002428,159.55641,33.222097,693.819927,8.374239751343183e-10,1.2527862668009402e-06,True,True,SUPPORTED,,"After shared-text exclusion, 湖南 appears in 5 of 25 eligible 泰格西 song units (20.0%); shrunken enrichment 159.56x, BH q=1.25e-06.","shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-0fad1a0628b44667e6d7ea5400c1265783ad07b0e8a6f5e211f741bc5456eff8,国蛋,台北,PLACE,36,6,21,5681,0.166667,0.003697,45.087302,0.175676,0.072698,0.311683,0.002745,0.001554,0.004268,63.991282,17.031561,200.533981,2.120255131919848e-09,2.3789262580140696e-06,True,True,SUPPORTED,,"After shared-text exclusion, 台北 appears in 6 of 36 eligible 国蛋 song units (16.7%); shrunken enrichment 63.99x, BH q=2.38e-06.","shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-b531a8de7a6d0c34b19b787255885398b63fd4b92d8984404c6d5271f7d268f1,GALI,上海,PLACE,36,8,106,5681,0.222222,0.018659,11.909853,0.22973,0.111078,0.375983,0.017446,0.014196,0.02102,13.168061,5.28451,26.485202,2.2104106656614669e-07,0.00019840646134977326,True,True,SUPPORTED,,"After shared-text exclusion, 上海 appears in 8 of 36 eligible GALI song units (22.2%); shrunken enrichment 13.17x, BH q=0.000198.","shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-800378ed0482ee65717309245d95ab4ddd74395ddce9272aa4a50433bad833f6,法老,上海,PLACE,41,7,106,5681,0.170732,0.018659,9.150253,0.178571,0.079765,0.306243,0.017639,0.014369,0.021232,10.123833,3.756767,21.313106,8.60904263513431e-06,0.004955357390838317,True,True,SUPPORTED,,"After shared-text exclusion, 上海 appears in 7 of 41 eligible 法老 song units (17.1%); shrunken enrichment 10.12x, BH q=0.00496.","shared-text-excluded source-credit-label lyric repertoire; not biography, preference, or social relation",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
