artist_label_id,source_artist_label,label_attribution_status,clean_song_count,independent_clean_song_count,primary_raw_chunk_count,primary_effective_text_mass,primary_unique_clean_text_count,sensitivity_raw_chunk_count,sensitivity_effective_text_mass,sensitivity_unique_clean_text_count,shared_text_dropped_effective_mass,shared_text_dropped_mass_share,eligible_primary_support,eligible_sensitivity_support,graph_node_eligible,stable_graph_degree
ALBL-6fb00601b23592ac5bee90a3557f53be2b8b4a9e01b50bedf6a92a352e1c4d6b,杨布拉德,source_artist_label_not_externally_identity_verified,45,43,177,158.58333333,177,149,149.00000000,149,9.58333333,0.06043090,true,true,true,0
ALBL-11f90a8c55fbe0699911c1c19ab4046d0a93a992a97ac914cf60449351307a39,梁维嘉,source_artist_label_not_externally_identity_verified,44,41,180,159.50000000,180,141,141.00000000,141,18.50000000,0.11598746,true,true,true,1
ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9,梁老师Tsong,source_artist_label_not_externally_identity_verified,42,39,119,106.50000000,119,94,94.00000000,94,12.50000000,0.11737089,true,true,true,2
ALBL-68861076b744e959ac73e2117efa8b1b2b9c67339252c49fa74c306ae22b118d,正义感,source_artist_label_not_externally_identity_verified,18,18,46,45.50000000,46,45,45.00000000,45,0.50000000,0.01098901,true,true,true,1
ALBL-8f24549b7a19479569b835736802bf6068abe35f8cc0b51ddadbcb7136426a0e,武生,source_artist_label_not_externally_identity_verified,11,9,19,14.50000000,19,10,10.00000000,10,4.50000000,0.31034483,false,false,false,0
ALBL-80561edbbd5c6ea08e94edfc2eac0bcf8fb1e9ca32e45c976929b3e11649b167,毒蟑螂,source_artist_label_not_externally_identity_verified,4,4,4,4.00000000,4,4,4.00000000,4,0.00000000,0.00000000,false,false,false,0
ALBL-46dd37bc0c25da1f0654922212590d79f5ab87861cce1ec0a751094175904067,江旻勋,source_artist_label_not_externally_identity_verified,7,7,7,7.00000000,7,7,7.00000000,7,0.00000000,0.00000000,false,false,false,0
ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a,河南说唱之神,source_artist_label_not_externally_identity_verified,49,47,106,103.50000000,106,101,101.00000000,101,2.50000000,0.02415459,true,true,true,2
ALBL-800378ed0482ee65717309245d95ab4ddd74395ddce9272aa4a50433bad833f6,法老,source_artist_label_not_externally_identity_verified,49,43,130,112.10000000,130,98,98.00000000,98,14.10000000,0.12578055,true,true,true,0
ALBL-2c8bc6640d674fb0494ab3a0352bfacdd7243a34c724124ee036737fd0d39b2d,泰格西,source_artist_label_not_externally_identity_verified,23,22,40,39.00000000,40,38,38.00000000,38,1.00000000,0.02564103,true,true,true,0
ALBL-c28203421388af56e88d8f0ad4f9f31fd91f1b6e3815ee08511ee620b9046d21,派克特,source_artist_label_not_externally_identity_verified,43,27,132,77.02857143,132,49,49.00000000,49,28.02857143,0.36387240,true,true,true,1
ALBL-69e09ca6ec075c702c80bc29a4f0403c9282b9293273e8873970444db978c065,滇声气,source_artist_label_not_externally_identity_verified,25,24,46,39.10000000,46,34,34.00000000,34,5.10000000,0.13043478,true,true,true,0
ALBL-377b054a1f71b14c70428b5910256bbb843ebcec24665eff55383c467e7c9df7,满舒克,source_artist_label_not_externally_identity_verified,42,37,121,102.50000000,121,84,84.00000000,84,18.50000000,0.18048780,true,true,true,2
ALBL-f82592dd2f2843d995b82060d966ef0133424aae05676b853f6742afe8e0a878,热狗,source_artist_label_not_externally_identity_verified,41,30,142,116.58333333,142,99,99.00000000,99,17.58333333,0.15082202,true,true,true,0
ALBL-dc8f1d73d2a7e7197ef9aa9abc2f54ad1c65f8c859a130403d44a3acdcbdb9a7,熊猫涂杰,source_artist_label_not_externally_identity_verified,47,44,91,79.50000000,91,68,68.00000000,68,11.50000000,0.14465409,true,true,true,0
ALBL-cd62211172109255e518aac9c918feef626c1ec8599caa975e444bfce28c7e28,爆音Boom,source_artist_label_not_externally_identity_verified,24,23,115,113.66666667,115,113,113.00000000,113,0.66666667,0.00586510,true,true,true,1
ALBL-3ff74c075ec5c2e5728f2ff0bfb20cf17699329068612d45293b05554df57030,爽子,source_artist_label_not_externally_identity_verified,18,17,103,100.50000000,103,98,98.00000000,98,2.50000000,0.02487562,true,true,true,0
ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07,王以太,source_artist_label_not_externally_identity_verified,39,29,122,89.71666667,122,62,62.00000000,62,27.71666667,0.30893554,true,true,true,2
ALBL-05fe1effba76833f120b714fd0141df46b7970d83c822c8a91201585ff6bb5ea,王嘉尔,source_artist_label_not_externally_identity_verified,38,37,127,123.00000000,127,119,119.00000000,119,4.00000000,0.03252033,true,true,true,0
ALBL-2cd7183a0cf674ea30188d5d0032a7ba17c2775bd7ee862325f9ed98d3d5ee1f,王晨宇IceCraz,source_artist_label_not_externally_identity_verified,48,47,79,78.50000000,79,78,78.00000000,78,0.50000000,0.00636943,true,true,true,1
ALBL-f13232ac4d20a03d1895a207e1d242b71a0fff71fc387a2dce2728146c4583ea,王齐铭,source_artist_label_not_externally_identity_verified,41,33,145,121.33333333,145,103,103.00000000,103,18.33333333,0.15109890,true,true,true,1
ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8,班比 Bambii,source_artist_label_not_externally_identity_verified,44,43,202,197.03333333,202,194,194.00000000,194,3.03333333,0.01539503,true,true,true,3
ALBL-3f8544460dad7df697f7b1dfe3ceb76f8ee9fee329dff53487a2ff31ae594765,直火帮,source_artist_label_not_externally_identity_verified,43,40,130,121.16666667,130,115,115.00000000,115,6.16666667,0.05089409,true,true,true,0
ALBL-0828f126ccf0c88bdf414c410611374063d1ab6c756389b0c253efbbab6dcd4d,福克斯,source_artist_label_not_externally_identity_verified,44,41,83,80.50000000,83,78,78.00000000,78,2.50000000,0.03105590,true,true,true,0
ALBL-1f58a6ffe8bece560a2d7cd3f95b1c5fedac73381c77a301c279e6c79036b7f0,离合,source_artist_label_not_externally_identity_verified,34,33,70,63.20000000,70,57,57.00000000,57,6.20000000,0.09810127,true,true,true,1
ALBL-4643ced8fed4e5f7ffe92d53e345a6e445386087a66e90051378e206de8a183f,秃子,source_artist_label_not_externally_identity_verified,37,26,228,173.10000000,228,121,121.00000000,121,52.10000000,0.30098209,true,true,true,0
ALBL-7ad638af3a35b7d111f62ea5b56a127ec4dbcf5cd86cc213bda8cd999a257ec9,笑男孩,source_artist_label_not_externally_identity_verified,32,32,67,63.50000000,67,60,60.00000000,60,3.50000000,0.05511811,true,true,true,0
ALBL-f5b44700d88df27400bbc80123221c3d4510d850e6f6494eb136693cd655b7fa,红手指,source_artist_label_not_externally_identity_verified,10,6,66,46.66666667,66,37,37.00000000,37,9.66666667,0.20714286,true,true,true,0
ALBL-1966ab7fbcd7e029e5d23d46e16dd169141761a81c9ccb7ad58233a524454fd5,红狼,source_artist_label_not_externally_identity_verified,14,14,37,37.00000000,37,37,37.00000000,37,0.00000000,0.00000000,true,true,true,0
ALBL-792d55b0a19edfc124c50aba34e23dc8797d058ad9d19feb36f247dd21034d18,罗言,source_artist_label_not_externally_identity_verified,35,25,126,90.83333333,126,56,56.00000000,56,34.83333333,0.38348624,true,true,true,2
ALBL-17a705471f9603aa36a32eccd5a72e57b03ee08200a8ee9b075466924284be0d,義胜合,source_artist_label_not_externally_identity_verified,12,12,21,21.00000000,21,21,21.00000000,21,0.00000000,0.00000000,true,true,true,0
ALBL-5588dea76589911df854bcd8ae85996bb26f89521d661f3f591f4f339057cd55,老黑Black J,source_artist_label_not_externally_identity_verified,11,11,57,57.00000000,57,57,57.00000000,57,0.00000000,0.00000000,true,true,true,2
ALBL-a969c82d8811c619b763ab618ec5363279fb26d32c93efeed133750060e06d93,胡彦斌 TIGER HU,source_artist_label_not_externally_identity_verified,35,33,174,164.83333333,174,156,156.00000000,156,8.83333333,0.05358948,true,true,true,1
ALBL-91e7e3cdbb244167ab7bd584a228ec96d1798f373702980135847af0b640afa5,艾热 AIR,source_artist_label_not_externally_identity_verified,44,30,185,143.35000000,185,107,107.00000000,107,36.35000000,0.25357517,true,true,true,2
ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,艾福杰尼,source_artist_label_not_externally_identity_verified,50,40,191,161.86666667,191,139,139.00000000,139,22.86666667,0.14126853,true,true,true,5
ALBL-30f7e60627845f9d0fd4aec317723f5156cbb07ff715a9b98385f64c558bd2fa,花生,source_artist_label_not_externally_identity_verified,14,13,37,31.50000000,37,26,26.00000000,26,5.50000000,0.17460317,true,true,true,0
ALBL-1f2d952704844297ca47bfabadd402ae330b8fb2d6b5e9294874c18dde101b51,街球帝,source_artist_label_not_externally_identity_verified,9,9,14,14.00000000,14,14,14.00000000,14,0.00000000,0.00000000,false,false,false,0
ALBL-f01c232566c50c600194af8656475231127091412b8ac4819d979c7595e78db3,西奥,source_artist_label_not_externally_identity_verified,30,26,83,77.60000000,83,74,74.00000000,74,3.60000000,0.04639175,true,true,true,0
ALBL-b47259c0f8ec7dc8b05a94acb2921670b00d27d9b8e2b94848653ffd4aa9c890,西米,source_artist_label_not_externally_identity_verified,21,21,60,60.00000000,60,60,60.00000000,60,0.00000000,0.00000000,true,true,true,1
ALBL-86f2676f14b31cf1662e6897c8fe7206deec824ea3e37309f29c8977df988967,许恒PDG,source_artist_label_not_externally_identity_verified,8,7,22,17.00000000,22,12,12.00000000,12,5.00000000,0.29411765,false,false,false,0
ALBL-e40ca6e7685b01b18b567faf579406988813bbc01e8d2aad140f8c9ed0986691,说唱东百人,source_artist_label_not_externally_identity_verified,23,23,27,27.00000000,27,27,27.00000000,27,0.00000000,0.00000000,true,true,true,0
ALBL-b8a81d5882dab810d4dd664ff0c4a3e42ed9210e093bf09047883c9c87030795,诺米么Lodmemo,source_artist_label_not_externally_identity_verified,13,12,32,31.50000000,32,31,31.00000000,31,0.50000000,0.01587302,true,true,true,0
