artist_label_id,source_artist_label,label_attribution_status,external_identity_verified,graph_display_status
ALBL-df37ba569c01fcedd3d036cd994e4fee82c6f3c0b109cb038bc3ec44302efe17,141,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-4ee2de733107bf496cb129ee93841693210261129915ba651cc3fbb0b18de05c,404 Rapper,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,APMOZART,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-3dab537bbce562a80504255944b4f84168fe4cdfe736c5f5569088ee394644b6,AR,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b6fb9745908a9283df198b367153a16c8346bc5114b5856f9a7ffb412793e6ef,Ansr J,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-87844eb828b520c40f25c1c11d6bfe17d5bac7ac4cee3d7db6c8c804e9846918,Athree,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-29edcc95c78a492fbc8302b407068f19b3893ba409c59671efface165df6f8e5,Ayo97,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-082eac9b47608ea3feaa48cf11852315175f54c199dc7b8e105f80cb868748e1,BeCareful,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-9ec1ed5ae5429ec3c201bc8de841504a2e5b413a06a3aa8a963d94108be06e95,Blow Fever,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-9dfbe06f93041cb9bf5f5aa68c56ce9379af282b898eed75115c36908988f75d,BossWang,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-384aae7e6af5b9f5c29a1490f2571f3122bf1b0a79e0f2fd2c25a9e13c64877b,Break-D,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-fc83eb0c2b9caf7b6655f612f98b6c57a3a90e33dadb1e65cb5c8eaae604cd5a,Bridge,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-851b250b2304762b91768b5123950704538062116628ddfaa11d82ce5c5be520,Busta Z,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-3516aca92330ace937d4d66d19489d317129d236c505c76c829d30f582c702ec,C-Block,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-58317e7308fa764165b4d6a3ef2e233753924b1bb3544048ceb57650a8fa89cb,C-Low,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc,CJ BAda$$ (希介),source_artist_label_not_externally_identity_verified,false,eligible
ALBL-17684bc3770d1aec5c2bd652a8807086eae2d17921537773d7065a03fe954aab,Capper,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-7749a2f08aef7a04a3186c81bc94103aee823322d406de047e42d2db36375364,Cayden,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-d716b18c66c85254008107b9f4754f5399b26bb2661d38b3cc06cd9056dddb53,CoupleHunnidTime,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-23cc9ad5656ade82d0585fba15746eec8fbcbb8ecbcd883d7fc885d404d1478b,Cream D,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-5df3b41d45a211caed7ddd24c3951c2e6837ab2f5322ab023300850d02ea1a5e,DBL.D,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-e72e4ade8d97665aa4a2256764cb353dfa64deccf822922b70f06d7ee29f3c94,Dirty Twinz,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-7f9d51b2153da108c09e27e39e0e3563c5aac119a896eeb929e827f8f1bea542,FAC-D12,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-1f7fed06b8efb360d17055fb5863e54d09a25560e048c3bf2ee01153da3c93c4,G Sauce,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-cb7c78d5d00ac7147de7b814ebde9ef47d47e7961b8df535b0628bb71e594071,GAI,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b531a8de7a6d0c34b19b787255885398b63fd4b92d8984404c6d5271f7d268f1,GALI,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b13d2c09b86f4e5afd7d5e0ed5496d8f08e8c5438ad84a7f3e398ab3d030f5e5,GNS耀耀,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-b8557601edc484332b5e016a21d4bbb0916313ae828752e757fc70bab4e86dd4,Ghost Crew,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-8fe67f1bb9fc285a22c50d0d4d43b33ead424009b4de8dfeab0a3ddddc5c6e1e,Gm仙,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-2e810b55afb91280b967725073e8e9dee97ffc7e57519fa876a5eef1c60b2833,Green Soldier,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-803895061e7d1b3ae418c5489b90e87ba8b5ba8c6694f214cd7ef630b40dd204,HAS,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-d979019ce70ed85f25885322d6573ee2b06fc89d5d3a312f05d0e571d3c1e6b9,Higher Brothers,source_artist_label_not_externally_identity_verified,false,eligible
