artist_label_id_a,source_artist_label_a,artist_label_id_b,source_artist_label_b,primary_rank_a_to_b,primary_rank_b_to_a,primary_cosine_similarity,primary_pair_percentile,sensitivity_rank_a_to_b,sensitivity_rank_b_to_a,sensitivity_cosine_similarity,sensitivity_pair_percentile,stable_across_shared_text_exclusion,edge_definition
ALBL-ce1dbed42e4ffd01b17b35012dd06687b42c427b4423c451dd09eb33b4e346a1,Tizzy T,ALBL-377b054a1f71b14c70428b5910256bbb843ebcec24665eff55383c467e7c9df7,满舒克,3,3,0.98049077,99.51704820,2,3,0.97615708,99.16932290,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,Turbo嗣尧,ALBL-24b00b86757b8524f811b193bdeb83ef1329a0c57055807a6ded111fa42e68f3,小青龙,3,1,0.98061501,99.55568434,4,4,0.97699695,99.39631025,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,Turbo嗣尧,ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8,班比 Bambii,5,5,0.97879843,99.03892592,3,4,0.97778182,99.59432049,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-65f4c44000b0b3238b828e0cf5c3707b1e174d6799866358fb0a3a8f41ea30c0,Turbo嗣尧,ALBL-e9a4c85e9728ea650fe95413c3e3e10896819996b77097c55e8b48164ad00e35,雲道,2,1,0.98068674,99.56534338,1,2,0.97883214,99.75369458,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-6470d1206d77a5344903490c8022085d5434995cb18f11140acf297a51a4c0f7,Vava,ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07,王以太,2,2,0.98228846,99.80681928,2,2,0.97714074,99.42045784,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-fddf535e5b713884564473e370696e9d3ff93e4f56e8f974e38c66f522386646,Wya乌鸦,ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,宝石老舅,1,5,0.97820340,98.82642712,2,5,0.97591142,99.09688013,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-ec1a6a5ce2ff06a97a913a555309205d1ec638937f61e263acda0f10b28e85aa,YoungChigga,ALBL-ecfef7f6f92be0e12b16b1883492c5074fcebcc87b380e577cea3d43f25ef6df,默示船政,1,1,0.97785973,98.66705303,1,1,0.97777420,99.58949097,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971,YuGo,ALBL-b05b2ef6bdc95c06ba891db690f7d2bd4fbc6bc9b317302a948bc3323352ed89,光光 (MC),1,5,0.98085961,99.60397952,2,2,0.97706471,99.41562832,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-674cdf7bedf87c3a984532f3b6d1e7baeeab9de3979127e45718e65f125c5971,YuGo,ALBL-cec5217a1ba6f2e262da20bd31748b0bc5f4f0dcc7dbf9542cd8d69ed4719a82,龙泽宇,2,2,0.97964609,99.30454941,3,5,0.97485592,98.74432532,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b54a07b05128f5872fa2d2cafea41ad88da5df11665216730e41d3f0d57f30ff,乃万,ALBL-792d55b0a19edfc124c50aba34e23dc8797d058ad9d19feb36f247dd21034d18,罗言,1,1,0.98516481,99.97585241,4,1,0.97903055,99.79716024,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-7f3967d3975472e31ce4362dd92a45b49955b2ff273e500482ac5b4118c331c8,二狗子,ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,小鸭哥,1,5,0.97988985,99.38665121,1,4,0.97968944,99.85028494,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35,傲傲,ALBL-ebe5f9209243e8cc0730f985167ab1298e9e6b87f738cbdaaa2789cd93dc9812,廖效浓,2,1,0.98263775,99.85994398,2,1,0.98200746,99.95653434,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
