model,artist_label_id,candidate_event_count_before_leakage_filter,leakage_excluded_event_count,leakage_safe_event_count,predicted_event_count,end_to_end_event_coverage,metric_status,top1_accuracy,top3_accuracy,top5_accuracy,mrr
global_frequency,141,34,0,34,34,1.0,reported,0.235294,0.323529,0.441176,0.357221
global_frequency,404 Rapper,170,2,168,168,0.9882352941176471,reported,0.172619,0.267857,0.375,0.306762
global_frequency,APMOZART,151,2,149,149,0.9867549668874173,reported,0.14094,0.436242,0.483221,0.336269
global_frequency,AR,330,14,316,316,0.9575757575757575,reported,0.155063,0.253165,0.360759,0.289878
global_frequency,Ansr J,408,19,389,389,0.9534313725490197,reported,0.118252,0.313625,0.449871,0.288626
global_frequency,Athree,152,2,150,150,0.9868421052631579,reported,0.066667,0.2,0.36,0.223665
global_frequency,Ayo97,17,16,1,1,0.058823529411764705,suppressed_below_20_events,,,,
global_frequency,Blow Fever,87,0,87,87,1.0,reported,0.172414,0.218391,0.264368,0.277086
global_frequency,BossWang,89,0,89,89,1.0,reported,0.191011,0.202247,0.617978,0.338346
global_frequency,Bridge,268,6,262,262,0.9776119402985075,reported,0.141221,0.305344,0.419847,0.300302
global_frequency,Busta Z,325,1,324,324,0.9969230769230769,reported,0.098765,0.330247,0.487654,0.292219
global_frequency,C-Block,281,0,281,281,1.0,reported,0.113879,0.402135,0.512456,0.315189
global_frequency,C-Low,170,6,164,164,0.9647058823529412,reported,0.036585,0.262195,0.420732,0.241589
global_frequency,CJ BAda$$ (希介),267,0,267,267,1.0,reported,0.198502,0.47191,0.573034,0.388927
global_frequency,Capper,185,3,182,182,0.9837837837837838,reported,0.098901,0.192308,0.324176,0.238405
global_frequency,Cayden,92,0,92,92,1.0,reported,0.130435,0.380435,0.521739,0.334429
global_frequency,Cream D,65,3,62,62,0.9538461538461539,reported,0.048387,0.177419,0.435484,0.206004
global_frequency,DBL.D,144,0,144,144,1.0,reported,0.111111,0.291667,0.409722,0.284538
global_frequency,Dirty Twinz,264,4,260,260,0.9848484848484849,reported,0.076923,0.3,0.361538,0.250859
global_frequency,FAC-D12,302,0,302,302,1.0,reported,0.125828,0.370861,0.47351,0.324922
global_frequency,G Sauce,145,0,145,145,1.0,reported,0.158621,0.310345,0.441379,0.323004
global_frequency,GAI,444,38,406,406,0.9144144144144144,reported,0.123153,0.258621,0.455665,0.295804
global_frequency,GALI,368,37,331,331,0.8994565217391305,reported,0.111782,0.362538,0.471299,0.306442
global_frequency,GNS耀耀,144,2,142,142,0.9861111111111112,reported,0.169014,0.415493,0.549296,0.35865
global_frequency,Ghost Crew,307,0,307,307,1.0,reported,0.127036,0.34202,0.557003,0.316389
global_frequency,Gm仙,197,0,197,197,1.0,reported,0.147208,0.28934,0.461929,0.316591
global_frequency,Green Soldier,50,0,50,50,1.0,reported,0.02,0.52,0.66,0.326195
global_frequency,HAS,240,4,236,236,0.9833333333333333,reported,0.09322,0.245763,0.305085,0.256769
global_frequency,Higher Brothers,140,3,137,137,0.9785714285714285,reported,0.233577,0.386861,0.540146,0.3746
global_frequency,Hotkey金朝,227,0,227,227,1.0,reported,0.198238,0.471366,0.599119,0.376339
global_frequency,ICE,250,1,249,249,0.996,reported,0.084337,0.261044,0.329317,0.251283
global_frequency,Ice Paper,406,2,404,404,0.9950738916256158,reported,0.094059,0.388614,0.55198,0.319345
global_frequency,JD,426,43,383,383,0.8990610328638498,reported,0.27154,0.422977,0.545692,0.416939
global_frequency,Jarstick,595,4,591,591,0.9932773109243698,reported,0.130288,0.333333,0.553299,0.325119
global_frequency,Jony J,416,2,414,414,0.9951923076923077,reported,0.072464,0.253623,0.413043,0.257804
global_frequency,KITO,85,1,84,84,0.9882352941176471,reported,0.154762,0.464286,0.559524,0.328038
global_frequency,KKLUV,176,30,146,146,0.8295454545454546,reported,0.178082,0.363014,0.486301,0.339479
global_frequency,Kandi 侃迪,474,4,470,470,0.9915611814345991,reported,0.102128,0.291489,0.459574,0.282149
global_frequency,Kc,494,7,487,487,0.9858299595141701,reported,0.096509,0.26078,0.433265,0.267337
global_frequency,Kigga,152,8,144,144,0.9473684210526315,reported,0.125,0.208333,0.430556,0.268121
global_frequency,KnowKnow,192,0,192,192,1.0,reported,0.145833,0.411458,0.484375,0.335336
global_frequency,Korn,180,72,108,108,0.6,reported,0.157407,0.324074,0.351852,0.302152
global_frequency,Kzoo,167,13,154,154,0.9221556886227545,reported,0.207792,0.292208,0.512987,0.34848
global_frequency,Lil Milk,122,1,121,121,0.9918032786885246,reported,0.024793,0.247934,0.421488,0.223798
global_frequency,MULA SAKEE,298,1,297,297,0.9966442953020134,reported,0.212121,0.387205,0.47138,0.368356
global_frequency,Mac Overseas,361,1,360,360,0.997229916897507,reported,0.188889,0.397222,0.516667,0.355767
global_frequency,Max马俊,160,3,157,157,0.98125,reported,0.127389,0.235669,0.547771,0.298521
global_frequency,Melo,160,0,160,160,1.0,reported,0.18125,0.425,0.46875,0.341033
global_frequency,Mengzi,232,1,231,231,0.9956896551724138,reported,0.108225,0.316017,0.450216,0.293185
global_frequency,Mercy(lago),272,4,268,268,0.9852941176470589,reported,0.074627,0.257463,0.473881,0.262323
global_frequency,NOTTIBO1,204,3,201,201,0.9852941176470589,reported,0.154229,0.40796,0.542289,0.349355
global_frequency,Nasty Ray,213,70,143,143,0.6713615023474179,reported,0.13986,0.503497,0.552448,0.367592
global_frequency,No Fear Family,285,10,275,275,0.9649122807017544,reported,0.12,0.323636,0.472727,0.302432
global_frequency,Nxmad诺曼得,124,2,122,122,0.9838709677419355,reported,0.114754,0.245902,0.459016,0.263579
global_frequency,OG Three,275,2,273,273,0.9927272727272727,reported,0.106227,0.252747,0.318681,0.250697
global_frequency,OWVRO老弟,167,13,154,154,0.9221556886227545,reported,0.032468,0.344156,0.448052,0.249241
global_frequency,Over$ize,94,1,93,93,0.9893617021276596,reported,0.086022,0.333333,0.430108,0.265637
global_frequency,PO8,204,0,204,204,1.0,reported,0.142157,0.313725,0.47549,0.311794
global_frequency,Poorman,70,0,70,70,1.0,reported,0.214286,0.257143,0.5,0.338723
global_frequency,ROB93,44,0,44,44,1.0,reported,0.181818,0.25,0.5,0.325168
global_frequency,Regi 陈彦希,123,1,122,122,0.991869918699187,reported,0.213115,0.442623,0.508197,0.363853
global_frequency,Rich4ever,224,2,222,222,0.9910714285714286,reported,0.301802,0.432432,0.490991,0.426734
global_frequency,S1,113,0,113,113,1.0,reported,0.106195,0.20354,0.238938,0.240522
global_frequency,SASIOVERLXRD,189,4,185,185,0.9788359788359788,reported,0.135135,0.216216,0.389189,0.261248
global_frequency,Sbazzo,372,68,304,304,0.8172043010752689,reported,0.171053,0.371711,0.493421,0.343793
global_frequency,Six City,31,0,31,31,1.0,reported,0.193548,0.387097,0.387097,0.349462
global_frequency,Sleepycat,103,0,103,103,1.0,reported,0.097087,0.252427,0.446602,0.276244
global_frequency,Surfosho,81,0,81,81,1.0,reported,0.17284,0.308642,0.45679,0.314307
global_frequency,TOYOKI,300,4,296,296,0.9866666666666667,reported,0.138514,0.344595,0.442568,0.319397
