model,artist_label_id,candidate_event_count_before_leakage_filter,leakage_excluded_event_count,leakage_safe_event_count,predicted_event_count,end_to_end_event_coverage,metric_status,top1_accuracy,top3_accuracy,top5_accuracy,mrr
global_frequency,TShawn,92,0,92,92,1.0,reported,0.130435,0.380435,0.521739,0.334429
global_frequency,TY,417,1,416,416,0.9976019184652278,reported,0.100962,0.375,0.497596,0.299444
global_frequency,Tangoz,461,14,447,447,0.9696312364425163,reported,0.163311,0.342282,0.50783,0.331196
global_frequency,Tizzy T,358,11,347,347,0.9692737430167597,reported,0.135447,0.282421,0.417867,0.296311
global_frequency,Toryondacloud,97,0,97,97,1.0,reported,0.103093,0.515464,0.659794,0.359069
global_frequency,Turbo嗣尧,200,1,199,199,0.995,reported,0.165829,0.462312,0.532663,0.351029
global_frequency,V.O.B.,139,4,135,135,0.9712230215827338,reported,0.037037,0.177778,0.474074,0.216997
global_frequency,Vava,554,36,518,518,0.9350180505415162,reported,0.131274,0.332046,0.503861,0.310543
global_frequency,Wya乌鸦,321,0,321,321,1.0,reported,0.140187,0.53271,0.647975,0.392903
global_frequency,YOUNG,337,0,337,337,1.0,reported,0.151335,0.305638,0.445104,0.31242
global_frequency,YOUNGLEGO,146,3,143,143,0.9794520547945206,reported,0.174825,0.314685,0.440559,0.341673
global_frequency,YoungChigga,251,0,251,251,1.0,reported,0.131474,0.318725,0.517928,0.315346
global_frequency,YuGo,164,0,164,164,1.0,reported,0.134146,0.463415,0.52439,0.327858
global_frequency,jinjibewater,240,0,240,240,1.0,reported,0.141667,0.283333,0.416667,0.289923
global_frequency,ljz329,127,0,127,127,1.0,reported,0.062992,0.220472,0.299213,0.227194
global_frequency,neverkilltheape,40,0,40,40,1.0,reported,0.175,0.2,0.225,0.264738
global_frequency,southsidesamurai,121,0,121,121,1.0,reported,0.157025,0.363636,0.438017,0.317254
global_frequency,thomeboydontkill,428,5,423,423,0.9883177570093458,reported,0.241135,0.41844,0.527187,0.395943
global_frequency,zhazha,47,0,47,47,1.0,reported,0.191489,0.234043,0.361702,0.300288
global_frequency,万赛文,174,4,170,170,0.9770114942528736,reported,0.117647,0.241176,0.405882,0.271715
global_frequency,上官承诺,108,1,107,107,0.9907407407407407,reported,0.046729,0.271028,0.429907,0.250829
global_frequency,丸,160,25,135,135,0.84375,reported,0.140741,0.4,0.503704,0.334551
global_frequency,乃万,320,8,312,312,0.975,reported,0.185897,0.375,0.487179,0.347816
global_frequency,九块钱,154,8,146,146,0.948051948051948,reported,0.10274,0.493151,0.568493,0.348809
global_frequency,九维,127,3,124,124,0.9763779527559056,reported,0.072581,0.41129,0.5,0.282311
global_frequency,书生,50,0,50,50,1.0,reported,0.12,0.36,0.44,0.337786
global_frequency,二狗子,104,0,104,104,1.0,reported,0.115385,0.548077,0.615385,0.378657
global_frequency,于漂 eZ Yang Fizz,175,2,173,173,0.9885714285714285,reported,0.138728,0.369942,0.427746,0.307849
global_frequency,傲傲,246,18,228,228,0.926829268292683,reported,0.118421,0.342105,0.399123,0.30089
global_frequency,光光 (MC),342,0,342,342,1.0,reported,0.105263,0.309942,0.444444,0.288124
global_frequency,八口8uck,137,3,134,134,0.9781021897810219,reported,0.126866,0.261194,0.313433,0.27877
global_frequency,冲天小火煎,103,2,101,101,0.9805825242718447,reported,0.118812,0.29703,0.425743,0.292246
global_frequency,刀脚,222,0,222,222,1.0,reported,0.117117,0.261261,0.45045,0.282873
global_frequency,刘柄鑫,372,1,371,371,0.9973118279569892,reported,0.132075,0.336927,0.463612,0.31212
global_frequency,刘聪 (Key.L),309,22,287,287,0.9288025889967637,reported,0.10453,0.30662,0.439024,0.28367
global_frequency,功夫胖,321,0,321,321,1.0,reported,0.071651,0.330218,0.4081,0.274717
global_frequency,卢慈航,228,4,224,224,0.9824561403508771,reported,0.120536,0.178571,0.508929,0.276448
global_frequency,吴晨阳,37,0,37,37,1.0,reported,0.216216,0.459459,0.675676,0.408276
global_frequency,吾人莲花,106,1,105,105,0.9905660377358491,reported,0.12381,0.228571,0.314286,0.256221
global_frequency,呆宝静,178,1,177,177,0.9943820224719101,reported,0.101695,0.271186,0.418079,0.27402
global_frequency,周士爵,985,35,950,950,0.9644670050761421,reported,0.189474,0.442105,0.578947,0.369632
global_frequency,国蛋,340,46,294,294,0.8647058823529412,reported,0.210884,0.292517,0.455782,0.336096
global_frequency,土人儿,129,2,127,127,0.9844961240310077,reported,0.338583,0.527559,0.551181,0.473208
global_frequency,坚强的小黄瓜,354,1,353,353,0.9971751412429378,reported,0.09915,0.339943,0.456091,0.294197
global_frequency,多雷 Swang,391,53,338,338,0.8644501278772379,reported,0.156805,0.301775,0.464497,0.316739
global_frequency,大D,282,10,272,272,0.9645390070921985,reported,0.1875,0.327206,0.433824,0.333468
global_frequency,大傻 (Damnshine),357,8,349,349,0.9775910364145658,reported,0.163324,0.295129,0.504298,0.322625
global_frequency,大狗,275,86,189,189,0.6872727272727273,reported,0.031746,0.216931,0.375661,0.195303
global_frequency,大笑,201,0,201,201,1.0,reported,0.114428,0.273632,0.402985,0.279355
global_frequency,天府事变CDREV,94,0,94,94,1.0,reported,0.180851,0.287234,0.468085,0.317668
global_frequency,姜云升,421,14,407,407,0.9667458432304038,reported,0.191646,0.410319,0.5086,0.365554
global_frequency,嫩桃弟弟,72,0,72,72,1.0,reported,0.375,0.583333,0.694444,0.531988
global_frequency,孔令奇,137,0,137,137,1.0,reported,0.19708,0.248175,0.248175,0.301435
global_frequency,孙八一,295,49,246,246,0.8338983050847457,reported,0.101626,0.223577,0.48374,0.27153
global_frequency,孤矢,268,26,242,242,0.9029850746268657,reported,0.157025,0.338843,0.404959,0.326726
global_frequency,孩子王jake,26,0,26,26,1.0,reported,0.346154,0.538462,0.538462,0.478007
global_frequency,宝石老舅,260,4,256,256,0.9846153846153847,reported,0.097656,0.433594,0.53125,0.31631
global_frequency,小老虎,501,81,420,420,0.8383233532934131,reported,0.157143,0.471429,0.559524,0.364165
global_frequency,小酷coola,197,0,197,197,1.0,reported,0.172589,0.385787,0.517766,0.355144
global_frequency,小青龙,152,0,152,152,1.0,reported,0.125,0.263158,0.427632,0.2932
global_frequency,小鸭哥,346,2,344,344,0.9942196531791907,reported,0.232558,0.383721,0.473837,0.377304
global_frequency,廖效浓,117,0,117,117,1.0,reported,0.08547,0.384615,0.547009,0.321196
global_frequency,张千,234,4,230,230,0.9829059829059829,reported,0.182609,0.395652,0.504348,0.348494
global_frequency,张大炮,390,8,382,382,0.9794871794871794,reported,0.183246,0.382199,0.589005,0.353427
global_frequency,张愚歌,157,0,157,157,1.0,reported,0.050955,0.267516,0.458599,0.250531
global_frequency,张昊,185,0,185,185,1.0,reported,0.135135,0.324324,0.491892,0.310352
global_frequency,张雪飞,361,8,353,353,0.9778393351800554,reported,0.13881,0.328612,0.552408,0.325203
global_frequency,张颜齐,238,7,231,231,0.9705882352941176,reported,0.112554,0.25974,0.580087,0.301975
global_frequency,弹壳,92,0,92,92,1.0,reported,0.141304,0.25,0.391304,0.286745
global_frequency,徐真真,286,2,284,284,0.993006993006993,reported,0.105634,0.31338,0.496479,0.299991
global_frequency,恶童,258,2,256,256,0.9922480620155039,reported,0.136719,0.34375,0.503906,0.32505
global_frequency,揽佬,133,5,128,128,0.9624060150375939,reported,0.132812,0.242188,0.523438,0.293185
global_frequency,斯威特,475,4,471,471,0.991578947368421,reported,0.159236,0.443737,0.590234,0.359016
global_frequency,新街口组合,292,56,236,236,0.8082191780821918,reported,0.165254,0.245763,0.478814,0.307863
global_frequency,方仔,219,2,217,217,0.9908675799086758,reported,0.124424,0.313364,0.488479,0.300003
global_frequency,是Triple M,86,0,86,86,1.0,reported,0.069767,0.5,0.604651,0.329672
global_frequency,望江晴,109,1,108,108,0.9908256880733946,reported,0.111111,0.203704,0.342593,0.268086
global_frequency,木秦,295,2,293,293,0.9932203389830508,reported,0.136519,0.450512,0.56314,0.359314
global_frequency,杀手耗,267,3,264,264,0.9887640449438202,reported,0.136364,0.32197,0.511364,0.322322
global_frequency,李佳隆,298,10,288,288,0.9664429530201343,reported,0.076389,0.375,0.541667,0.306383
global_frequency,李大奔BENZO,206,2,204,204,0.9902912621359223,reported,0.215686,0.411765,0.470588,0.385711
global_frequency,李尔新,399,5,394,394,0.9874686716791979,reported,0.116751,0.314721,0.423858,0.285806
global_frequency,杨和苏KeyNG,654,72,582,582,0.8899082568807339,reported,0.175258,0.396907,0.467354,0.349345
global_frequency,杨布拉德,274,2,272,272,0.9927007299270073,reported,0.172794,0.452206,0.595588,0.377743
global_frequency,梁维嘉,658,10,648,648,0.9848024316109423,reported,0.138889,0.37037,0.544753,0.327779
global_frequency,梁老师Tsong,203,57,146,146,0.7192118226600985,reported,0.30137,0.39726,0.534247,0.424813
global_frequency,正义感,258,7,251,251,0.9728682170542635,reported,0.175299,0.314741,0.370518,0.312185
global_frequency,武生,140,0,140,140,1.0,reported,0.042857,0.185714,0.235714,0.225449
global_frequency,江旻勋,62,0,62,62,1.0,reported,0.16129,0.322581,0.435484,0.3233
global_frequency,河南说唱之神,283,6,277,277,0.9787985865724381,reported,0.223827,0.397112,0.527076,0.389414
global_frequency,法老,671,146,525,525,0.7824143070044709,reported,0.234286,0.384762,0.518095,0.382219
global_frequency,泰格西,135,1,134,134,0.9925925925925926,reported,0.119403,0.492537,0.61194,0.35937
global_frequency,派克特,507,32,475,475,0.9368836291913215,reported,0.176842,0.311579,0.465263,0.3257
global_frequency,滇声气,346,4,342,342,0.9884393063583815,reported,0.093567,0.274854,0.48538,0.276104
global_frequency,满舒克,433,47,386,386,0.8914549653579676,reported,0.222798,0.373057,0.432642,0.366141
global_frequency,热狗,278,12,266,266,0.9568345323741008,reported,0.112782,0.274436,0.330827,0.269914
global_frequency,熊猫涂杰,360,4,356,356,0.9888888888888889,reported,0.174157,0.348315,0.429775,0.328041
global_frequency,爆音Boom,174,1,173,173,0.9942528735632183,reported,0.156069,0.369942,0.462428,0.342031
global_frequency,爽子,683,5,678,678,0.9926793557833089,reported,0.168142,0.418879,0.597345,0.354638
global_frequency,王以太,328,8,320,320,0.975609756097561,reported,0.153125,0.540625,0.628125,0.391167
global_frequency,王嘉尔,27,0,27,27,1.0,reported,0.037037,0.148148,0.222222,0.172269
global_frequency,王晨宇IceCraz,424,12,412,412,0.9716981132075472,reported,0.11165,0.334951,0.410194,0.285798
global_frequency,王齐铭,319,0,319,319,1.0,reported,0.159875,0.213166,0.394984,0.293572
global_frequency,班比 Bambii,253,4,249,249,0.9841897233201581,reported,0.156627,0.285141,0.389558,0.302406
global_frequency,直火帮,380,9,371,371,0.9763157894736842,reported,0.145553,0.253369,0.366577,0.281916
global_frequency,福克斯,397,8,389,389,0.9798488664987406,reported,0.107969,0.267352,0.329049,0.267756
global_frequency,离合,106,3,103,103,0.9716981132075472,reported,0.116505,0.407767,0.533981,0.333512
global_frequency,秃子,345,2,343,343,0.9942028985507246,reported,0.122449,0.399417,0.536443,0.331471
global_frequency,笑男孩,144,0,144,144,1.0,reported,0.111111,0.319444,0.576389,0.307172
global_frequency,红手指,55,1,54,54,0.9818181818181818,reported,0.092593,0.185185,0.333333,0.227111
global_frequency,红狼,72,0,72,72,1.0,reported,0.236111,0.625,0.652778,0.470651
global_frequency,罗言,227,1,226,226,0.9955947136563876,reported,0.212389,0.292035,0.446903,0.339079
global_frequency,義胜合,46,0,46,46,1.0,reported,0.108696,0.608696,0.652174,0.37609
global_frequency,老黑Black J,47,0,47,47,1.0,reported,0.06383,0.12766,0.276596,0.207785
global_frequency,胡彦斌 TIGER HU,168,2,166,166,0.9880952380952381,reported,0.042169,0.240964,0.590361,0.234414
global_frequency,艾热 AIR,463,6,457,457,0.9870410367170627,reported,0.142232,0.391685,0.507659,0.328669
global_frequency,艾福杰尼,347,22,325,325,0.9365994236311239,reported,0.147692,0.418462,0.501538,0.351545
global_frequency,花生,92,0,92,92,1.0,reported,0.097826,0.380435,0.5,0.315378
global_frequency,街球帝,39,0,39,39,1.0,reported,0.25641,0.461538,0.589744,0.404787
global_frequency,西奥,250,6,244,244,0.976,reported,0.102459,0.213115,0.438525,0.267878
global_frequency,西米,75,0,75,75,1.0,reported,0.266667,0.36,0.453333,0.377819
global_frequency,许恒PDG,49,0,49,49,1.0,reported,0.183673,0.428571,0.55102,0.349486
global_frequency,说唱东百人,210,9,201,201,0.9571428571428572,reported,0.089552,0.318408,0.691542,0.303657
global_frequency,诺米么Lodmemo,117,0,117,117,1.0,reported,0.290598,0.487179,0.57265,0.437118
global_frequency,谢帝,331,0,331,331,1.0,reported,0.226586,0.504532,0.570997,0.396456
global_frequency,赣斯特,40,0,40,40,1.0,reported,0.25,0.425,0.675,0.425789
global_frequency,赵山河,327,2,325,325,0.9938837920489296,reported,0.138462,0.363077,0.470769,0.322881
global_frequency,辉子,312,6,306,306,0.9807692307692307,reported,0.120915,0.362745,0.529412,0.313978
global_frequency,辛巴,332,8,324,324,0.9759036144578314,reported,0.098765,0.311728,0.533951,0.297698
global_frequency,连麻Swimming,359,29,330,330,0.9192200557103064,reported,0.078788,0.215152,0.351515,0.234684
global_frequency,邓典果,384,3,381,381,0.9921875,reported,0.120735,0.307087,0.430446,0.292148
global_frequency,那吾克热-NW,271,12,259,259,0.955719557195572,reported,0.111969,0.335907,0.451737,0.28428
global_frequency,那奇沃夫,203,2,201,201,0.9901477832512315,reported,0.144279,0.38806,0.497512,0.330631
global_frequency,金熙宇,156,0,156,156,1.0,reported,0.134615,0.423077,0.461538,0.34439
global_frequency,金蛇 traphouse,727,3,724,724,0.9958734525447043,reported,0.118785,0.361878,0.475138,0.310059
global_frequency,阿之,32,0,32,32,1.0,reported,0.09375,0.53125,0.65625,0.365997
global_frequency,阿斯巴田,213,10,203,203,0.9530516431924883,reported,0.187192,0.384236,0.418719,0.332522
global_frequency,阿水YoungBJ,304,2,302,302,0.993421052631579,reported,0.135762,0.321192,0.546358,0.323276
global_frequency,阿童木,202,2,200,200,0.9900990099009901,reported,0.06,0.305,0.61,0.283788
global_frequency,隐藏,18,1,17,17,0.9444444444444444,suppressed_below_20_events,,,,
global_frequency,雲道,240,3,237,237,0.9875,reported,0.113924,0.248945,0.350211,0.274383
global_frequency,雾都 (Wudu Montana),115,6,109,109,0.9478260869565217,reported,0.119266,0.412844,0.633028,0.33096
global_frequency,顾帅,159,2,157,157,0.9874213836477987,reported,0.095541,0.388535,0.503185,0.319575
global_frequency,饺子,319,9,310,310,0.9717868338557993,reported,0.196774,0.432258,0.577419,0.385447
global_frequency,马思唯,298,2,296,296,0.9932885906040269,reported,0.172297,0.496622,0.597973,0.355108
global_frequency,鹤无双,56,0,56,56,1.0,reported,0.142857,0.232143,0.303571,0.272657
global_frequency,鹿奇,170,0,170,170,1.0,reported,0.088235,0.3,0.447059,0.282687
global_frequency,黄旭,474,46,428,428,0.9029535864978903,reported,0.149533,0.320093,0.46028,0.313971
global_frequency,黄昭,145,0,145,145,1.0,reported,0.144828,0.303448,0.393103,0.289206
global_frequency,黑螺丝,104,3,101,101,0.9711538461538461,reported,0.227723,0.29703,0.475248,0.362604
global_frequency,黑麦,271,1,270,270,0.996309963099631,reported,0.17037,0.333333,0.47037,0.329615
global_frequency,默示船政,506,13,493,493,0.974308300395257,reported,0.093306,0.348884,0.48073,0.294535
global_frequency,龙井说唱 孙旭,250,0,250,250,1.0,reported,0.212,0.5,0.58,0.399711
global_frequency,龙井说唱 孙骁,99,2,97,97,0.9797979797979798,reported,0.14433,0.298969,0.515464,0.30172
global_frequency,龙井说唱益晗,32,0,32,32,1.0,reported,0.125,0.375,0.75,0.324603
global_frequency,龙泽宇,189,5,184,184,0.9735449735449735,reported,0.201087,0.326087,0.467391,0.335572
global_frequency,龙胆紫,117,1,116,116,0.9914529914529915,reported,0.12931,0.396552,0.525862,0.309872
first_order_markov,141,34,0,34,34,1.0,reported,0.470588,0.617647,0.705882,0.578156
first_order_markov,404 Rapper,170,2,168,168,0.9882352941176471,reported,0.565476,0.72619,0.77381,0.670885
first_order_markov,APMOZART,151,2,149,149,0.9867549668874173,reported,0.449664,0.583893,0.697987,0.566423
first_order_markov,AR,330,14,316,316,0.9575757575757575,reported,0.56962,0.686709,0.759494,0.663211
first_order_markov,Ansr J,408,19,389,389,0.9534313725490197,reported,0.434447,0.588689,0.683805,0.555079
first_order_markov,Athree,152,2,150,150,0.9868421052631579,reported,0.546667,0.653333,0.74,0.638961
first_order_markov,Ayo97,17,16,1,1,0.058823529411764705,suppressed_below_20_events,,,,
first_order_markov,Blow Fever,87,0,87,87,1.0,reported,0.494253,0.666667,0.781609,0.614856
first_order_markov,BossWang,89,0,89,89,1.0,reported,0.539326,0.662921,0.719101,0.642264
first_order_markov,Bridge,268,6,262,262,0.9776119402985075,reported,0.377863,0.549618,0.641221,0.508296
first_order_markov,Busta Z,325,1,324,324,0.9969230769230769,reported,0.555556,0.660494,0.734568,0.644488
first_order_markov,C-Block,281,0,281,281,1.0,reported,0.505338,0.708185,0.797153,0.636347
first_order_markov,C-Low,170,6,164,164,0.9647058823529412,reported,0.439024,0.603659,0.70122,0.548881
first_order_markov,CJ BAda$$ (希介),267,0,267,267,1.0,reported,0.58427,0.752809,0.842697,0.69424
first_order_markov,Capper,185,3,182,182,0.9837837837837838,reported,0.532967,0.642857,0.692308,0.619618
first_order_markov,Cayden,92,0,92,92,1.0,reported,0.315217,0.521739,0.641304,0.46467
first_order_markov,Cream D,65,3,62,62,0.9538461538461539,reported,0.629032,0.725806,0.758065,0.705361
first_order_markov,DBL.D,144,0,144,144,1.0,reported,0.479167,0.652778,0.743056,0.599681
first_order_markov,Dirty Twinz,264,4,260,260,0.9848484848484849,reported,0.576923,0.726923,0.773077,0.670626
first_order_markov,FAC-D12,302,0,302,302,1.0,reported,0.529801,0.705298,0.768212,0.644292
first_order_markov,G Sauce,145,0,145,145,1.0,reported,0.696552,0.82069,0.896552,0.778036
first_order_markov,GAI,444,38,406,406,0.9144144144144144,reported,0.472906,0.578818,0.694581,0.578238
first_order_markov,GALI,368,37,331,331,0.8994565217391305,reported,0.320242,0.471299,0.63142,0.460708
first_order_markov,GNS耀耀,144,2,142,142,0.9861111111111112,reported,0.380282,0.591549,0.676056,0.519442
first_order_markov,Ghost Crew,307,0,307,307,1.0,reported,0.498371,0.599349,0.70684,0.599585
first_order_markov,Gm仙,197,0,197,197,1.0,reported,0.568528,0.670051,0.756345,0.660922
first_order_markov,Green Soldier,50,0,50,50,1.0,reported,0.78,0.86,0.9,0.8315
first_order_markov,HAS,240,4,236,236,0.9833333333333333,reported,0.627119,0.728814,0.762712,0.698459
first_order_markov,Higher Brothers,140,3,137,137,0.9785714285714285,reported,0.467153,0.642336,0.810219,0.603866
first_order_markov,Hotkey金朝,227,0,227,227,1.0,reported,0.38326,0.599119,0.722467,0.542033
first_order_markov,ICE,250,1,249,249,0.996,reported,0.606426,0.670683,0.75502,0.681115
first_order_markov,Ice Paper,406,2,404,404,0.9950738916256158,reported,0.579208,0.717822,0.819307,0.681842
first_order_markov,JD,426,43,383,383,0.8990610328638498,reported,0.62141,0.765013,0.819843,0.717087
first_order_markov,Jarstick,595,4,591,591,0.9932773109243698,reported,0.451777,0.597293,0.673435,0.566176
first_order_markov,Jony J,416,2,414,414,0.9951923076923077,reported,0.55314,0.695652,0.785024,0.659071
first_order_markov,KITO,85,1,84,84,0.9882352941176471,reported,0.666667,0.77381,0.892857,0.747607
first_order_markov,KKLUV,176,30,146,146,0.8295454545454546,reported,0.376712,0.59589,0.705479,0.529298
first_order_markov,Kandi 侃迪,474,4,470,470,0.9915611814345991,reported,0.495745,0.629787,0.717021,0.602089
first_order_markov,Kc,494,7,487,487,0.9858299595141701,reported,0.562628,0.685832,0.767967,0.662169
first_order_markov,Kigga,152,8,144,144,0.9473684210526315,reported,0.5625,0.701389,0.75,0.660901
first_order_markov,KnowKnow,192,0,192,192,1.0,reported,0.427083,0.619792,0.739583,0.566107
first_order_markov,Korn,180,72,108,108,0.6,reported,0.425926,0.657407,0.722222,0.571103
first_order_markov,Kzoo,167,13,154,154,0.9221556886227545,reported,0.61039,0.733766,0.766234,0.696795
first_order_markov,Lil Milk,122,1,121,121,0.9918032786885246,reported,0.46281,0.61157,0.652893,0.565522
first_order_markov,MULA SAKEE,298,1,297,297,0.9966442953020134,reported,0.501684,0.690236,0.76431,0.633305
first_order_markov,Mac Overseas,361,1,360,360,0.997229916897507,reported,0.375,0.555556,0.633333,0.510693
first_order_markov,Max马俊,160,3,157,157,0.98125,reported,0.566879,0.719745,0.796178,0.67599
first_order_markov,Melo,160,0,160,160,1.0,reported,0.5125,0.68125,0.7625,0.632508
