model,evaluation_split,candidate_event_count_before_leakage_filter,leakage_excluded_event_count,leakage_safe_event_count,predicted_event_count,song_count,model_coverage_on_leakage_safe_events,end_to_end_event_coverage,reported_label_share,top1_accuracy,top1_accuracy_ci95_low,top1_accuracy_ci95_high,top3_accuracy,top3_accuracy_ci95_low,top3_accuracy_ci95_high,top5_accuracy,top5_accuracy_ci95_low,top5_accuracy_ci95_high,mrr,mrr_ci95_low,mrr_ci95_high,negative_log_likelihood,ece_10_bins
global_frequency,song_held_out_test,53444,1928,51516,51516,1064,1.0,0.9639248559239578,,0.142868,0.136618,0.149131,0.345019,0.33526,0.354648,0.48187,0.471998,0.491782,0.319126,0.313546,0.324709,2.676844,0.003691
first_order_markov,song_held_out_test,53444,1928,51516,51516,1064,1.0,0.9639248559239578,,0.494274,0.483771,0.505029,0.648847,0.639966,0.657593,0.736257,0.72905,0.743544,0.608496,0.600092,0.617119,1.97711,0.002692
flat_sgd_logistic_context,song_held_out_test,53444,1928,51516,51516,1064,1.0,0.9639248559239578,,0.495982,0.485434,0.506212,0.696405,0.689495,0.703576,0.779408,0.773822,0.785239,0.627554,0.620198,0.635146,1.891389,0.036289
hierarchical_sgd_context,song_held_out_test,53444,1928,51516,51516,1064,1.0,0.9639248559239578,,0.498583,0.488632,0.508653,0.697686,0.690352,0.705319,0.781349,0.775469,0.787289,0.629501,0.621986,0.637132,1.863476,0.006027
hierarchical_sgd_no_source_label,song_held_out_test,53444,1928,51516,51516,1064,1.0,0.9639248559239578,,0.498234,0.488248,0.508631,0.697492,0.690311,0.704983,0.779894,0.774174,0.785869,0.629115,0.621834,0.636862,1.866905,0.008653
hierarchical_sgd_context,song_held_out_test_macro_across_labels_with_at_least_20_events,53409,1911,51498,51498,,1.0,0.96422,0.9911504424778761,0.49727,,,0.699,,,0.782898,,,0.628989,,,,
